"ccaa","provincia","carretera","carretera_small","salida_carretera","sentido_carretera","tipo_sentido_carretera (si ese sentido aumenta km, ascendente; si no, descendente; pongo 'ambas' cuando está dentro de un pueblo y se puede acceder fácilmente desde ambos sentidos)","pet_friendly","terraza","nombre","descripcion","web","teléfono","coordenada_y","coordenada_x","google_maps","image1",,"otras_observaciones"
"Canarias","Las Palmas","En carretera del Norte, kilómetro 13.","GC-2","13 (km; a la altura de Moya)","las-palmas_hacia_el-pagador","¿ascendente?",,,"Pepe Chiringo San Andrés","Restaurante donde tomar sandwiches, hamburguesas, ensaladas y bocadillos de lomo de pechuga.","https://pepechiringo.es/",928830713,"28.1457482","-15.5606566","https://www.google.es/maps/place/Pepe+Chiringo+San+andres/@28.1457482,-15.5606566,18.75z/data=!4m6!3m5!1s0xc4092cd6a80eacb:0x82126a31ad346c3e!8m2!3d28.1455808!4d-15.5604398!16s%2Fg%2F11bxfjcv83",,,
"Canarias","Tenerife","En el cruce de Las Eras, en la autopista del Sur, en el Barranco Hondo (Tenerife)","TF-1","35 (salida)","los-cristianos_hacia_santa-cruz","¿ascendente?",,,"Autobar de Julián","Se les llama las borrachas a los autobares, los food trucks o las gastro furgonetas que aquí se encuentran. Además de los bocadillos de cochino, un refresco y un café, cuenta con vistas al mar.  ","https://www.facebook.com/profile.php?id=100057456848501","(No tiene)","28.2020041","-16.4267954","https://www.google.es/maps/place/Autobar+Juli%C3%A1n/@28.2020041,-16.4267954,19.34z/data=!4m6!3m5!1s0xc4025c29239e6bb:0x522505a1806ee431!8m2!3d28.2018665!4d-16.4267368!16s%2Fg%2F11hck28p_5",,,
"Cantabria","Cantabria","Próximo a la A-8, en Solares","A-8","197 (salida hacia N-634)","torrelavega_hacia_bilbao","¿descendente?","Sí","Sí","Hotel Casa Enrique","Tiene platos de puchero, jamón, cecina, ensaladillas y pescados del Cantábrico.","https://restaurantecasaenrique.es/",942520073,"43.387188","-3.731122","https://www.google.es/maps/place/Restaurante+Casa+Enrique/@43.387188,-3.731122,19.14z/data=!4m9!3m8!1s0xd4ecad980f58db5:0xeedbac4c01d2143!5m2!4m1!1i2!8m2!3d43.3871275!4d-3.7310661!16s%2Fg%2F1wd3xc77",,,
"Castilla y León","Ávila","Km 111 A-6, Adanero, Ávila","A-6","112 (salida)","madrid_hacia_galicia","¿ascendente?","No","Sí","Restaurante MA","Tienen tapas de tres euros como el bocadillo de papada ibérica curada, huevo, foie y caviar de mujol o de nueve euros, de seis euros como el steak tartar de vaca rubia gallega, huevo y patatas fritas, y bocadillos de autor como el de lomo de cerdo, pimientos verdes, cebolla morada, queso brie y mahonesa de jalapeños por 9 euros.","https://restaurantema.com/",920307050,"40.9567744","-4.6148832","https://www.google.es/maps/place/Restaurante+MA/@40.9567744,-4.6148832,530m/data=!3m1!1e3!4m6!3m5!1s0xd40c47010112d51:0x2fccfbb31c118a76!8m2!3d40.9566078!4d-4.6147437!16s%2Fg%2F11b635dj00",,,
"Castilla y León","Burgos","En el kilómetro 235 de la Carretera Madrid-Irún, a la altura de Burgos","A-1","235 (salida)","burgos_hacia_madrid","¿descendente?","Sí","Sí","Hotel Landa","Este emblemático hotel, de torreón del siglo XI, templete del siglo XIX de estilo modernista, decoración de ambiente medieval y perfumados aseos (venden la fragancia ambientadora), es parada de aquellos viajeros con destino al Norte. Su bar, con el personal uniformado a la antigua usanza, siempre está a rebosar de gente a cualquier hora del día, en busca de su plato más solicitado, los huevos con morcilla, así como la repostería que elaboran ellos mismos. El hotel cuenta con un agradable parking rodeado de verde, restaurante y una tienda en la que se pueden adquirir desde las morcillas, una bolsa de lino con la firma de la casa o un atillo de rosquillas.","https://www.landa.as/es/",947257777,"42.3119337","-3.7031216","https://www.google.es/maps/place/Restaurante+Landa/@42.3119337,-3.7031216,478m/data=!3m1!1e3!4m6!3m5!1s0xd45e3e85110ba97:0xbe44945e7541e8a6!8m2!3d42.3117874!4d-3.7034681!16s%2Fg%2F11r_y73nk3",,,
"Castilla y León","Burgos","En la Autovía N-1, salida Km 146, en Milagros, a 15 kilómetros de Aranda de Duero (Burgos)","A-1","146 (salida)","madrid_hacia_burgos","¿ascendente?","Sí","Sí","El Lagar de Milagros","Parada de muchos rockeros y grupos musicales en sus giras hacia el Norte de España, ofrece bocadillos con pan de pueblo de tortilla, jamón o pepito de ternera. Platos combinados a base de chuletillas de lechazo, morcilla de Aranda y ensalada o patatas fritas, de escalope de ternera, tortilla de patatas, lechuga y tomate o de lomo adobado, morcilla, pimiento verde frito, ensalada o patatas fritas.","https://www.lagardemilagros.com",947548091,"41.5738285","-3.7042872","https://www.google.es/maps/place/Restaurante+EL+LAGAR+DE+MILAGROS/@41.5738285,-3.7042872,483m/data=!3m1!1e3!4m6!3m5!1s0xd4426c460f00fb7:0x934d15ed9ffb3f66!8m2!3d41.5736245!4d-3.7043518!16s%2Fg%2F1tm2b_5x",,,
"Castilla y León","León","Ctra. Asturias, 6, 24690 Busdongo de Arbás","N-630","92 (km; Altura municipio 'Busdongo de Arbás')","leon_hacia_oviedo","¿descendente?","Sí","Sí","Casa Maragato","Negocio familiar de finales del XIX con tienda, bar de embutidos donde sirven cecina recién cortada y un curioso museo de arena de playas de todo el mundo","https://www.facebook.com/people/Casa-Maragato/100059080964472",987598127,"42.9843896","-5.7056368","https://www.google.es/maps/place/Vinos+y+Licores+Casa+Maragato/@42.9843896,-5.7056368,289m/data=!3m1!1e3!4m6!3m5!1s0xd37aa5cd21c8d77:0x256c1c02085e5aac!8m2!3d42.9846239!4d-5.705666!16s%2Fg%2F1tz970rq",,,
"Castilla y León","Palencia","En la N611, en Alar de Rey ","N-611","(Km. 90 - Salida 'Alar de Rey')","palencia_hacia_santander","¿ascendente?","Sí","Sí","La Cueva","Parada para probar buena cocina casera, croquetas o bocadillos.","https://www.facebook.com/lacueva.alardelrey/?locale=es_ES",979133066,"42.6623624","-4.3135293","https://www.google.es/maps/place/La+Cueva+Restaurante/@42.6623624,-4.3135293,538m/data=!3m1!1e3!4m6!3m5!1s0xd488f2f2afffffb:0x5c43ac8d3c65dd0f!8m2!3d42.6623131!4d-4.3134327!16s%2Fg%2F1tdchpfd",,,
"Castilla y León","Salamanca","C. Azucena, 4, 37500 Ivanrey, Salamanca (junto a la N-620)","A-62","325 (salida)","salamanca_hacia_portugal","¿ascendente?","Sí","Sí","Hermanos Moreno","La especilidad es el pollo a la parrilla.","(No tiene)",923461620,"40.6074359","-6.5594853","https://www.google.es/maps/place/Restaurante+Hermanos+Moreno/@40.6074359,-6.5594853,427m/data=!3m1!1e3!4m6!3m5!1s0xd3c2ff4f4d4de63:0xf5b0cf339174db35!8m2!3d40.6073749!4d-6.5594075!16s%2Fg%2F1tmpg6tc",,,
"Castilla y León","Segovia","Autovía A-1, km 115, en Boceguillas","A-1","115 (salida)","madrid_hacia_burgos","¿ascendente?","Sí","Sí","Área Boceguillas","Con una estética rústica cuidada con mimo en los detalles, la parada no defrauda si lo que se busca son ricos bizcochos, emparedados con pan de aceite con rellenos elaborados en la casa. Dispone de un restaurante si lo que se desea es hacer una comida más copiosa con guisos y asados.Tiene una pequeña tienda en la que venden labores artesanas como manteles, paños y cojines hasta vajillas y cristalería y productos gourmet de la zona.","http://www.areaboceguillas.com/",921543703,"41.3237865","-3.6317492","https://www.google.es/maps/place/Restaurante+%C3%81rea+de+Boceguillas/@41.3237865,-3.6317492,799m/data=!3m1!1e3!4m6!3m5!1s0xd4405c0e5f89fbf:0xcc8461ac936419d!8m2!3d41.3237256!4d-3.6316369!16s%2Fg%2F1tfryssp",,,
"Castilla y León","Soria","En la A-2, en el kilómetro 145, o en la Nacional 111, en Medinaceli ","A-2","145 (salida; dirección Zaragoza) - 151 (salida; dirección Madrid)","zaragoza_hacia_madrid","¿ambas?","No","Sí","Carlos Mary","Desde 1966, este negocio familiar abre desde bien temprano para servir desayunos, hasta un almuerzo, merienda o cenas. Una buena excusa para probar los torreznos de Soria, el cochinito frito o las judías asadas. Comica casera con menú del día.","https://www.restaurantecarlosmary.es",975326014,"41.1647015","-2.4229447","https://www.google.es/maps/place/Restaurante+Carlos+Mary/@41.1647015,-2.4229447,504m/data=!3m1!1e3!4m6!3m5!1s0xd5cac887aee602b:0xf5b3da6f78df3e04!8m2!3d41.1645295!4d-2.4228196!16s%2Fg%2F1ptzdmfb9",,,
"Castilla y León","Valladolid","En la A-6, calle Santísimo Cristo, 128, 47490 Rueda, Valladolid ","A-6","170 (salida)","madrid_hacia_leon","¿ascendente?","Sí","Sí","Casa Lola","Bar-tienda con productos gourmet, desde embutidos, quesos, vinos y dulces, es desde 1990 uno de los puntos más concurridos por los viajeros de esta ruta. Tiene un amplio surtido de bocadillos, entre ellos, de jamón y chorizo Joselito, tostas, conservas y raciones para compartir.","https://www.ruedacasalola.com/es",983868023,"41.4074642","-4.960697","https://www.google.es/maps/place/Casa+Lola/@41.4074642,-4.960697,491m/data=!3m1!1e3!4m9!3m8!1s0xd475bf3cbb78475:0xd5ba6e18b8876696!5m2!4m1!1i2!8m2!3d41.4072753!4d-4.9602169!16s%2Fg%2F1tgjmltt",,,
"Castilla y León","Valladolid","En la A-6, km. 170,6 en Rueda","A-6","170 (salida)","madrid_hacia_leon/galicia","¿ascendente?","Sí","Sí","Palacio de Bornos","El bar y la tienda de la bodega se han convertido en una parada de picoteo, especialmente de la pulga de jamón por 3,30 euros, y compra de vino.","https://www.palaciodebornos.com/",983868276,"41.4047539","-4.9603794","https://www.google.es/maps/place/Palacio+de+Bornos/@41.4047539,-4.9603794,564m/data=!3m1!1e3!4m6!3m5!1s0xd475be86367b19f:0xf35338b16230de63!8m2!3d41.4047871!4d-4.9595035!16s%2Fg%2F11f781z7gv",,,
"Castilla y León","Zamora","En la A-6, Arrabal Huerta de los Salados, 49600 Benavente","A-6","259 (salida)","madrid_hacia_leon/galicia","¿ascendente?","Sí","No","El Ermitaño","Tiene un mesón para una comida más informal a base de embutidos, quesos, encurtidos, patés y conservas, además de un restaurante en el que ofrecen platos, como garbanzos con callos de bacalao, cochinillo, tartar de trucha o cochinillo a la naranja. En su tienda despachan platos preparados, como el lechazo en su jugo, canutillos de cecina, albondigas de lechazo o crema de queso de cabra.","https://elermitano.com/",980632213,"42.0059369","-5.6574007","https://www.google.es/maps/place/El+Ermita%C3%B1o+Restaurante/@42.0059369,-5.6574007,723m/data=!3m1!1e3!4m6!3m5!1s0xd384c107d57f6e5:0xd649a4663400f889!8m2!3d42.0058258!4d-5.6566625!16s%2Fg%2F11bzt21j_8",,,
"Castilla-La Mancha","Albacete","En dirección a Alicante (A-3), en Roda","A-31 (entrando en La Roda; carretera N-301)","Salidas de La Roda","atalaya_hacia_albacete_viceversa","¿ambas?","No","No","Confitería La Moderna","Parada obligatoria para tomar un café y sus famosos Miguelitos con crema pastelera.","https://confiterialamoderna.com/",967440235,"39.2059767","-2.1575802","https://www.google.es/maps/place/pasteler%C3%ADa+Confiter%C3%ADa+la+Moderna/@39.2059767,-2.1575802,529m/data=!3m1!1e3!4m6!3m5!1s0xd6636104b4992d3:0x6ef78efb472b8210!8m2!3d39.2056281!4d-2.1569442!16s%2Fg%2F1thvj8pg",,,
"Castilla-La Mancha","Albacete","En dirección a Alicante (A-3), en Roda","A-31 (entrando en La Roda; carretera N-301)","Salidas de La Roda","atalaya_hacia_albacete_viceversa","¿ambas?","Sí","Sí","Juanito","Ofrece quesos curados, lomo de orza, huevos estrellados y otras delicias.","https://hoteljuanito.com/",967548041,"39.2055646","-2.159635","https://www.google.es/maps/place/Hotel+Restaurante+Juanito/@39.2055646,-2.159635,454m/data=!3m1!1e3!4m9!3m8!1s0xd6636118d4fe0dd:0x24c173f7140df3a9!5m2!4m1!1i2!8m2!3d39.2056718!4d-2.159135!16s%2Fg%2F1tg9pgqz",,,
"Castilla-La Mancha","Cuenca","En la autovía del Este, Km.124, en Zafra de Záncara","A-3","124 (salida)","madrid_hacia_valencia","¿ascendente?","Sí","Sí","Venta San José","Desde 1980, este negocio familiar ofrece un repertorio de platos de la cocina manchega -potajes, guisos, pucheros, paletilla de lechal al horno o chuletón a la brasa de leña de encina carrasca-, así como un surtido de productos de la región, como 20 tipos diferentes de quesos manchegos. Elaboran menús, platos combinados, raciones o bocadillos.","www.restauranteventasanjose.com",969298458,"39.8660084","-2.5778056","https://www.google.es/maps/place/Venta+San+Jos%C3%A9/@39.8660084,-2.5778056,650m/data=!3m1!1e3!4m6!3m5!1s0xd68047c04a6db87:0xc3be45d17e52a130!8m2!3d39.8657358!4d-2.5776065!16s%2Fg%2F1hc4jkqt0",,,
"Castilla-La Mancha","Cuenca","Autovía del Este (A-3) Km. 175, Atalaya del Cañavate","A-3","175 (salida)","albacete_hacia_madrid","¿descendente?","Sí","Sí","Mesón Los Rosales","Entre su oferta destacan los escabeches, los quesos, los embutidos y las patatas con huevos y chorizo. Tienen tienda gourmet con mermeladas y miel de la zona.","https://es-es.facebook.com/MesonLosRosales/",969381447,"39.5362307","-2.2531447","https://www.google.es/maps/place/Restaurant+Meson+Los+Rosales/@39.5362307,-2.2531447,943m/data=!3m1!1e3!4m6!3m5!1s0xd67c46ff76d8425:0x2206255b25b2a12e!8m2!3d39.5363015!4d-2.2532058!16s%2Fg%2F11b5k78cq0",,,
"Castilla-La Mancha","Cuenca","A-3. km. 168. Honrubia","A-3","168 (salida)","madrid_hacia_valencia","¿ascendente?","Sí","Sí","Hotel Restaurante Marino","Con una gran variedad de platos, mención especial para las carnes a la brasa. Recomendable el pepito de ternera.","https://hotelmarino.com/",969292584,"39.5967229","-2.2801028","https://www.google.es/maps/place/Restaurant+Marino/@39.5967229,-2.2801028,609m/data=!3m1!1e3!4m6!3m5!1s0xd67c2e7aedbad7d:0x765cc37c32caba41!8m2!3d39.5962982!4d-2.2805356!16s%2Fg%2F11fx95_hvr",,,
"Castilla-La Mancha","Guadalajara","En la Autovía A-2, en el kilómetro 103, en Almadrones","A-2","103 (salida)","zaragoza_hacia_madrid","¿descendente?","Sí","Sí","Área 103","Es la historia de la familia Rebollo, que en 1889 se hizo cargo de la Venta de Almadrones, un negocio que es una dirección habitual entre los profesionales del camión. Disponen de una barra con un buen surtido de tapas, con croquetas caseras recién fritas y torreznos. Tienen un restaurante con asados y platos de cuchara, un huerto del que se nutren en verduras y hortalizas, y una tienda en la que venden los almadrones, unos dulces que elaboraba la abuela Nieves, o los productos que comercializan con la marca Acojonante (desde pochas, alcachofas, chocolates o rosquillas).","https://area103.es/",949285522,"40.8964275","-2.7621959","https://www.google.es/maps/place/%C3%81rea+103+Venta+de+Almadrones/@40.8964275,-2.7621959,472m/data=!3m2!1e3!5s0xd433fc647a8660f:0x6055580c1e8c7ddc!4m14!1m7!3m6!1s0xd433f3a22a02f67:0x65f6a5c7a7220fc2!2sArea+103!8m2!3d40.8978769!4d-2.7601832!16s%2Fg%2F11qp4x0b11!3m5!1s0xd433fc64a0b8053:0xee2476001b40330!8m2!3d40.8966977!4d-2.7613922!16s%2Fg%2F11b6hrnpww",,,
"Castilla-La Mancha","Toledo","Km 47 de la Autovía de Extremadura, A5. Casarrubios del Monte","A-5","47 (salida)","madrid_hacia_extremadura","¿ascendente?","Sí (en trasportín)","No","Las Esparteras","Barra tradicional para raciones y bocadillos y un comedor para asados. Cuentan con una tienda gourmet.","https://asadorlasesparteras.com/",918170932,"40.1837652","-4.1364631","https://www.google.es/maps/place/Restaurante+-+Asador+Las+Esparteras/@40.1837652,-4.1364631,743m/data=!3m1!1e3!4m6!3m5!1s0xd41c1234c35ec0d:0xdeeaecae2dadf5ac!8m2!3d40.1843505!4d-4.1353542!16s%2Fg%2F1v3kjtf2",,,
"Cataluña","Barcelona"," Ctra. C-16 Km 89 - La Rodonella - Cercs","C-16","105 (km)","barcelona_hacia_berga","¿ascendente?",,,"Els Portals de Cercs","Para parar a comer un bocadillo (tienen bastantes variedades de fríos y calientes) o comer, cocina catalana, carne a la brasa. Tienen una terraza con unas vistas muy bonitas del pantano de la Baells.","https://carta.menu/restaurants/cercs/els-portals",938248401,"42.1599425","1.8566112","https://www.google.es/maps/place/Els+Portals+de+Cercs/@42.1599425,1.8566112,691m/data=!3m1!1e3!4m6!3m5!1s0x12a50a38eedefde3:0x6ac861265274df02!8m2!3d42.1602919!4d1.8578643!16s%2Fg%2F11b88rv409",,,"No tiene web como tal. Mira si para los demás que no tienen web podemos utilizar también la web de Carta"
"Cataluña","Barcelona","Km. 562, Carretera Nacional II, Castellolí ","A-2","562 (salida)","lleida_hacia_barcelona","¿ascendente?","Sí","Sí","Nou Urbisol","Cocina catalana. Entre los platos destacan los buñuelos de bacalao, las cocas con foie y los huevos fritos con jamón.","https://www.nouurbisol.com/es",938084003,"41.5988301","1.6993805","https://www.google.es/maps/place/Restaurant+Nou+Urbisol/@41.5988301,1.6993805,737m/data=!3m1!1e3!4m6!3m5!1s0x12a45d6f4f973195:0x69de12e1acd1a728!8m2!3d41.5992187!4d1.7011267!16s%2Fg%2F11bwgwhgw1",,,
"Cataluña","Girona","En la C-31, Calle dels horts, 10, Viladamat ","C-31","(Altura municipio 'Viladamat'; cruza con carretera GI-623)","casteldefells_hacia_palafrugell","¿ambas?","No","No","Can Parera","Restaurante de comida casera con buenos arroces, tienen varios tipos, y carnes a la brasa. También hacen esmorzars de forquilla, es decir desayunos copioso de tenedor (callos, ternera con setas, galta de cerdo, pies de cerdo...)","https://www.restaurantcanparera.com/es/inicio/",972788367,"42.1345362","3.0759192","https://www.google.es/maps/place/Restaurant+Can+Parera/@42.1345362,3.0759192,558m/data=!3m1!1e3!4m6!3m5!1s0x12baf5c03c23d2bf:0x17769ddbeb04d15e!8m2!3d42.1347412!4d3.076861!16s%2Fg%2F1tsgyxs2",,,
"Cataluña","Girona","N-IIa, 16-32, Av. de Barcelona 36, Figueras","AP-7 (con salida hacia N-IIa)","3 (salida; dirección Girona) o 4 (salida dirección La Jonquera)","girona_hacia_lajonquera","¿ambas?","Sí","Sí","Hotel Restaurant Bon Retorn","Es un hotel y restaurante de carretera con cocina de mercado clásico de la Costa Brava. El menú del día vale 29 euros. Tienen un menú gourmand de 48 euros y un menú degustación de 65 euros.","https://www.bonretorn.com/",972504623,"42.2436742","2.9699498","https://www.google.es/maps/place/Hotel+Restaurant+Bon+Retorn/@42.2436742,2.9699498,593m/data=!3m1!1e3!4m9!3m8!1s0x12ba8daec38e3761:0x12c255fa22d52694!5m2!4m1!1i2!8m2!3d42.2437362!4d2.9706783!16s%2Fg%2F11c1nzl7sr",,,
